iter	Passed	Remaining
0	0	77
1	1	69
2	2	65
3	2	61
4	3	60
5	3	57
6	4	55
7	4	54
8	5	53
9	5	52
10	6	52
11	7	52
12	7	53
13	8	53
14	9	54
15	10	54
16	11	54
17	11	54
18	12	54
19	13	54
20	14	53
21	14	52
22	15	51
23	16	51
24	17	51
25	17	50
26	18	50
27	19	49
28	20	49
29	20	48
30	21	47
31	21	46
32	22	45
33	23	44
34	23	44
35	24	43
36	25	42
37	25	42
38	26	41
39	27	41
40	28	40
41	28	39
42	29	38
43	29	38
44	30	37
45	31	36
46	32	36
47	32	35
48	33	34
49	33	33
50	34	33
51	34	32
52	35	31
53	36	30
54	36	29
55	37	29
56	37	28
57	38	27
58	39	27
59	40	26
60	41	26
61	42	26
62	43	25
63	44	24
64	44	24
65	45	23
66	46	22
67	47	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	15
79	57	14
80	58	13
81	59	12
82	59	12
83	60	11
84	61	10
85	62	10
86	62	9
87	63	8
88	64	7
89	64	7
90	65	6
91	66	5
92	67	5
93	67	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
